Height Measurements for 34G Yellow Board,
Wire ID,Meas_type,Gauge,Board_type,D1,D0,CMD0,
3560,1,34,1,221.4,234.4,221.64
3561,1,34,1,205.71,232,221.35
3556,1,34,1,198.97,223.7,217.61
3558,1,34,1,212.24,226.77,204.13
3559,1,34,1,215.85,219.97,203.76

Height Measurements for 36G Yellow Board,
Wire ID,Meas_type,Gauge,Board_type,D1,D0,CMD0
3562,1,36,1,257.75,274.37,261.38
3563,1,36,1,263.58,254.71,261.05
3550,1,36,1,259.65,273.93,240.93
3551,1,36,1,239.65,270.95,248.53
3552,1,36,1,233.29,255.77,222.78

Height Measurements for 34G L-Board,
Wire ID,Meas_type,Gauge,Board_type,D3,D2,D1,D0,CMD0
3560,1,34,0,156.39,145.46,157.95,165.08,132.17
3561,1,34,0,144.5,151.92,145.38,160.92,144.02
3556,1,34,0,161.87,160.2,147.55,165.25,137.32
3558,1,34,0,159.66,163.41,146.1,130.46,127.01
3559,1,34,0,155.85,148.05,145.95,152.2,142.82

Height Measurements for 36G L-Board,
Wire ID,Meas_type,Gauge,Board_type,D3,D2,D1,D0,CMD0
3562,1,36,0,198.49,194.99,182.89,173.6,178.12
3563,1,36,0,167.18,166.86,170.66,167.75,167.15
3550,1,36,0,151.65,160.43,164.83,165.25,140.24
3551,1,36,0,179.49,190.27,152.42,170.34,148.74
3552,1,36,0,121.26,142.04,140.07,187.15,174.68

Width Measurements for 34G Yellow Board,
Wire ID,Meas_type,Gauge,Board_type,D1,D0,CMD0
3560,0,34,1,412.36,475.22,484.41
3561,0,34,1,415.79,485.46,476.93
3556,0,34,1,409.26,442.06,379.88
3558,0,34,1,420.33,437.16,453.68
3559,0,34,1,425.59,396.78,455.57

Width Measurements for 36G Yellow Board,
Wire ID,Meas_type,Gauge,Board_type,D1,D0,CMD0
3562,0,36,1,496.09,491.04,511.97
3563,0,36,1,477.47,485.45,466.37
3550,0,36,1,463.3,475.78,438.53
3551,0,36,1,459.36,497.69,465.57
3552,0,36,1,480.68,454.28,452.34

Width Measurements for 34G L-Board,
Wire ID,Meas_type,Gauge,Board_type,D3,D2,D1,D0,CMD0
3560,0,34,0,236.92,271.26,294.75,313.9,281.61
3561,0,34,0,216.71,253.38,356.32,315.01,253.98
3556,0,34,0,310.18,350.38,340.48,364.25,240.57
3558,0,34,0,255.2,341.82,322.21,403.75,262.98
3559,0,34,0,207.59,185.29,199.29,340.81,204.06

Width Measurements for 36G L-Board,
Wire ID,Meas_type,Gauge,Board_type,D3,D2,D1,D0,CMD0
3562,0,36,0,356.28,265.6,329.28,388.76,242.65
3563,0,36,0,303.82,298.94,338.26,360.92,250.94
3550,0,36,0,357.96,415.94,432.83,462.06,340.23
3551,0,36,0,294.75,379.94,454.68,402.98,278.53
3552,0,36,0,256.76,373.3,378.54,397.45,239.62
